Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2123;0;0;27;301;147;117;206;3399;1700;5313;592;10618;10618;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2124;0;0;32;242;158;129;245;2733;1828;5858;561;10664;10664;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2125;0;0;13;248;156;130;99;2801;1805;5904;547;10609;10609;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2126;0;0;19;286;178;130;145;3230;2059;5904;613;11338;11338;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2127;0;0;23;256;153;129;176;2891;1770;5858;561;10695;10695;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2128;0;0;24;278;157;133;184;3140;1816;6040;592;11180;11180;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2129;0;0;24;264;163;121;184;2981;1885;5495;572;10545;10545;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2130;0;0;31;283;163;110;237;3196;1885;4996;587;10314;10314;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2131;0;0;27;268;151;121;206;3027;1747;5495;567;10475;10475;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2132;0;0;27;301;163;141;206;3399;1885;6403;632;11893;11893;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2133;0;0;15;284;138;130;115;3207;1596;5904;567;10822;10822;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2134;0;0;24;264;165;125;184;2981;1909;5677;578;10751;10751;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2135;0;0;20;272;155;133;153;3072;1793;6040;580;11058;11058;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2136;0;0;32;274;145;133;245;3094;1677;6040;584;11056;11056;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2137;0;0;28;289;191;133;214;3264;2209;6040;641;11727;11727;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2138;0;0;21;257;173;119;161;2902;2001;5404;570;10468;10468;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2139;0;0;30;263;166;144;229;2970;1920;6540;603;11659;11659;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2140;0;0;22;275;171;116;168;3106;1978;5268;584;10520;10520;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2141;0;0;26;288;163;104;199;3252;1885;4723;581;10059;10059;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2142;0;0;23;259;153;152;176;2925;1770;6903;587;11774;11774;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2143;0;0;19;248;140;136;145;2801;1619;6176;543;10741;10741;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2144;0;0;30;264;148;104;229;2981;1712;4723;546;9645;9645;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2145;0;0;19;272;165;139;145;3072;1909;6313;595;11439;11439;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2146;0;0;29;281;183;150;222;3173;2117;6812;643;12324;12324;0.0;0.0;0.0;0.0;0.0;0.0;0.0
